City;Time of data;Day of the year;Hour of the day tstd;Hour of the year m;Time;Temperature (°C);Cloud Cover;Wind Velocity (m/s);Wind Direction;Solar Constant Io  (W/m²);Iglo,hor (W/m²);Iglo,p (W/m²)
Athens;17/5/2019 0:14:57;137;24;3288;1:00 am;16,66666667;0,26;0,44704;NNW;1342,585883;0,000000;0,000000
Athens;18/5/2019 0:14:57;138;1;3289;2:00 am;15,55555556;0,21;0,44704;NNW;1342,561802;0,000000;0,000000
Athens;18/5/2019 0:15:02;138;2;3290;3:00 am;15;0,18;0,44704;NNW;1342,537737;0,000000;0,000000
Athens;18/5/2019 0:15:08;138;3;3291;4:00 am;13,88888889;0,03;1,34112;NNW;1342,513688;0,000000;0,000000
Athens;18/5/2019 0:15:12;138;4;3292;5:00 am;13,88888889;0,08;1,34112;NNW;1342,489654;0,000000;0,000000
Athens;18/5/2019 0:15:16;138;5;3293;6:00 am;13,33333333;0,12;1,34112;NNW;1342,465636;0,000000;0,000000
Athens;18/5/2019 0:15:19;138;6;3294;7:00 am;14,44444444;0,11;1,34112;NW;1342,441634;39,626221;55,563335
Athens;18/5/2019 0:15:23;138;7;3295;8:00 am;17,22222222;0,08;0,44704;NW;1342,417648;162,592404;172,010146
Athens;18/5/2019 0:15:26;138;8;3296;9:00 am;20;0,08;0,44704;WNW;1342,393677;348,865829;315,608240
Athens;18/5/2019 0:15:30;138;9;3297;10:00 am;22,22222222;0,21;0,89408;W;1342,369722;570,015809;542,637295
Athens;18/5/2019 0:15:34;138;10;3298;11:00 am;23,33333333;0,3;1,78816;SW;1342,345783;785,785068;781,040645
Athens;18/5/2019 0:15:38;138;11;3299;12:00 pm;24,44444444;0,27;2,68224;SW;1342,321859;953,629990;969,770805
Athens;18/5/2019 0:15:41;138;12;3300;1:00 pm;25;0,43;3,57632;SSW;1342,297952;913,432951;936,289141
Athens;18/5/2019 0:15:43;138;13;3301;2:00 pm;25,55555556;0,52;4,02336;SSW;1342,274060;900,338879;921,349725
Athens;18/5/2019 0:15:46;138;14;3302;3:00 pm;25,55555556;0,66;4,4704;SSW;1342,250184;801,601014;809,670196
Athens;18/5/2019 0:15:48;138;15;3303;4:00 pm;25;0,66;4,4704;SSW;1342,226323;638,246693;627,060616
Athens;18/5/2019 0:15:51;138;16;3304;5:00 pm;24,44444444;0,6;4,4704;SSW;1342,202479;444,360823;415,163352
Athens;18/5/2019 0:15:53;138;17;3305;6:00 pm;23,88888889;0,56;4,4704;S;1342,178650;258,980970;243,544369
Athens;18/5/2019 0:15:55;138;18;3306;7:00 pm;22,77777778;0,62;4,02336;SSW;1342,154838;117,618807;127,174104
Athens;18/5/2019 0:15:58;138;19;3307;8:00 pm;21,66666667;0,81;2,68224;S;1342,131041;26,311051;24,939659
Athens;18/5/2019 0:16:00;138;20;3308;9:00 pm;20,55555556;0,93;1,78816;S;1342,107260;0,000000;0,000000
Athens;18/5/2019 0:16:02;138;21;3309;10:00 pm;20;0,97;1,34112;SE;1342,083495;0,000000;0,000000
Athens;18/5/2019 0:16:05;138;22;3310;11:00 pm;19,44444444;0,97;0,89408;SSE;1342,059746;0,000000;0,000000
Athens;18/5/2019 0:16:08;138;23;3311;;;;;;1342,036012;0,000000;0,000000
Athens;18/5/2019 0:16:11;138;24;3312;1:00 am;20,55555556;0,56;0;NE;1342,012295;0,000000;0,000000
